 TOT   INH   IND
   -     -     -    Algorithm.EqSat.Info getChildrenMinHeight (2995)
   -     -     -      Algorithm.EqSat.Info getChildrenMinHeight.\ (2376)
   -     -     -      Algorithm.EqSat.Info getChildrenMinHeight.minimum' (1510)
   -     -     -    Algorithm.EqSat.Build addToDB (2995)
   -     -     -      Algorithm.EqSat.Build populate (2181)
   -     -     -        Algorithm.EqSat.Build populate.f (3165)
   -     -     -      Algorithm.EqSat.Build addToDB.op (1510)
   -     -     -    Data.SRTree.Internal compare (118461)
   -     -     -    Data.SRTree.Internal childrenOf (0)
   -     -     -    Algorithm.EqSat.Build add.newClass (1510)


97.2    .1     -  Algorithm.SRTree.Opt minimizeNLL (2486)
97.2     -     -    Algorithm.SRTree.Opt minimizeNLL.t_opt (2486)
97.2     -     -      Algorithm.SRTree.NonlinearOpt minimizeLocal (2486)
97.2     -     -        Algorithm.SRTree.NonlinearOpt minimizeLocal' (2486)
97.1     -     -          Algorithm.SRTree.NonlinearOpt setupLocalProblem (2486)
97.1     -     -            Algorithm.SRTree.NonlinearOpt applyLocalProblem (2486)
   -     -     -            Algorithm.SRTree.NonlinearOpt newOpt (2485)
   -     -     -              Numeric.Optimization.NLOPT.Bindings create (2485)
   -     -     -                Algorithm.SRTree.NonlinearOpt applyLocalProblem (0)
   -     -     -          Algorithm.SRTree.NonlinearOpt solveProblem (2485)
   -     -     -            Numeric.Optimization.NLOPT.Bindings optimize (2485)
   -     -     -              Numeric.Optimization.NLOPT.Bindings withOpt (2485)
   -     -     -    Algorithm.SRTree.Opt minimizeNLL.treeArr (2485)
   -     -     -      Algorithm.SRTree.Opt treeArr (2485)
   -     -     -        Algorithm.SRTree.Opt tree2arr (2485)
   -     -     -          Algorithm.SRTree.Opt tree2arr.listTree (2485)
   -     -     -            Data.SRTree.Recursion accu (57144)
   -     -     -              Algorithm.SRTree.Opt tree2arr.convert (57144)
   -     -     -                Data.SRTree.Internal fromEnum (22364)
   -     -     -              Data.SRTree.Internal fmap (57144)
   -     -     -          Algorithm.SRTree.Opt tree2arr.mapTree (2485)
   -     -     -    Algorithm.SRTree.Opt minimizeNLL.tree' (2485)
   -     -     -      Data.SRTree.Internal relabelParams (2485)
   -     -     -    Algorithm.SRTree.Opt minimizeNLL.t0' (2485)


97.1    .1     -  Algorithm.SRTree.NonlinearOpt tryTo (7456)
97.1    .1     -    Algorithm.SRTree.NonlinearOpt applyObjectiveD (0)
97.1    .1     -      Algorithm.SRTree.NonlinearOpt wrapScalarFunctionD (7412)
97.1     -     -        Algorithm.SRTree.NonlinearOpt wrapScalarFunctionD.(...) (7412)
97.1     -     -          Algorithm.SRTree.Opt minimizeNLL.algorithm (0)
97.1     -     -            Algorithm.SRTree.Opt minimizeNLL.funAndGrad (0)
97.0     -     -              Algorithm.SRTree.Likelihoods gradNLLArr (7412)
   -     -     -              Data.Massiv.Array.Delayed.Pull unsafeLoadIntoIO (7409)
   -     -     -                Data.Massiv.Core.Common unsafeLoadIntoIO (7409)
   -     -     -                  Control.Scheduler.Computation $mPar.\ (7409)
   -     -     -                    Data.Massiv.Core.Common unsafeLoadIntoIO.\ (7409)
   -     -     -                      Data.Massiv.Array.Delayed.Pull iterArrayLinearWithSetST_ (7409)
   -     -     -                        Data.Massiv.Core.Common iterArrayLinearWithSetST_ (7409)
   -     -     -                          Data.Massiv.Array.Delayed.Pull iterArrayLinearST_ (7409)
   -     -     -                            Data.Massiv.Core.Index.Iterator iterTargetFullST_ (7409)
   -     -     -                              Control.Scheduler scheduleWork (7409)
   -     -     -                                Control.Scheduler.Types _scheduleWorkId (7409)
   -     -     -                                  Control.Scheduler.Internal trivialScheduler_ (0)
   -     -     -                                    Control.Scheduler.Internal trivialScheduler_.\ (7409)
   -     -     -                                      Control.Monad.Primitive primitive (32191)
   -     -     -                              Control.Scheduler.Types _numWorkers (7409)
   -     -     -              Data.Massiv.Array.Delayed.Pull maxLinearSize (7409)
   -     -     -              Data.Massiv.Array.Manifest.Storable unsafeFreeze (7409)
   -     -     -        Data.Vector.Storable basicUnsafeCopy (7409)
   -     -     -        Control.Monad.Primitive primitive (7409)
   -     -     -      Numeric.Optimization.NLOPT.Bindings set_min_objective (0)
   -     -     -        Numeric.Optimization.NLOPT.Bindings getStablePtr (2485)
   -     -     -          Numeric.Optimization.NLOPT.Bindings addStablePtrFinalizer (0)
   -     -     -        Numeric.Optimization.NLOPT.Bindings exportFunPtr (2485)
   -     -     -          Numeric.Optimization.NLOPT.Bindings wrapCFunction (7409)
